ref,name,management,pupils_total_2022_23,pcd,lat,lon,color,color_string,red,green,blue,radius,protestant,catholic,other,display,estimated_non_christians,estimated_non_christian_pct,estimated_non_christian_string,radius_freq,estimated_total_visits,no_withdrawn,pct_other,url
501-1651,Milltown Primary School,Controlled,53.0,BT324NR,54.37512,-6.289895,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,123,2,168,72.80109889280519,29,0,24 (45.3%),Baptist Youth: once,16,0.3018867924528302,15-18 (30.2%),94.62197768561404,1.0,5 or fewer,45.3%,https://www.whatdotheyknow.com/r/7258e56a-5fe5-4c59-9740-8418330fdc86
501-1664,Scarva Primary School,Controlled,61.0,BT636NS,54.329048,-6.361891,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,149,17,161,78.10249675906654,54,0,7 (11.5%),"Baptist Church: <1/month<br>Child Evangelism Fellowship: <1/month<br>Free Presbyterian Church, Tandragee and Banbridge: <1/month<br>Scarva Presbyterian Church, Scarva: <1/month<br>St. Matthew's Church of Ireland, Scarva: <1/month",0,0.0,Fewer than 5 (<9.0%),125.1311246196772,17.0,Zero,11.5%,https://www.whatdotheyknow.com/r/1792d204-9ac8-4ea9-8bf2-464df2ca18f7
501-1684,Annalong Primary School,Controlled,198.0,BT344TH,54.107157,-5.901271,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,217,89,105,140.71247279470288,143,13,42 (21.2%),Annalong Free Presbyterian Church: monthly<br>Annalong Presbyterian Church: monthly<br>Child Evangelism Fellowship: monthly<br>Kilhorne Church of Ireland: monthly,32,0.1616161616161616,32 (16.2%),185.53777676178865,36.0,Zero,21.2%,https://www.whatdotheyknow.com/r/36f8961b-a5fb-4f6d-89ba-730ee1459708
501-1687,Maralin Village Primary School,Controlled,260.0,BT670QZ,54.464659,-6.252662,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,213,83,109,161.24515496597098,158,8,94 (36.2%),Brethren: c. 11 visits<br>Hope for Youth Ministries: once<br>Magheralin Church of Ireland: c. 11 visits,62,0.2384615384615384,62 (23.8%),184.14279094398157,23.0,Zero,36.2%,https://www.whatdotheyknow.com/r/245332ec-e435-4412-b0c1-da16b2c23428
501-2280,Moneymore Primary School,Controlled,244.0,BT457QT,54.695445,-6.667649,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,178,44,142,156.20499351813308,203,0-4,37-41 (16.0%),Cookstown Free Presbyterian Church: <1/month<br>Magherafelt Gospel Hall: <1/month<br>Moneymore Congregational Church: <1/month<br>Moneymore Presbyterian Church: <1/month<br>Orritor & Claggan Presbyterian Church: <1/month<br>Other Christian Charities: <1/month,33,0.1352459016393442,32-35 (13.5%),147.8840127688135,21.0,Zero,16.0%,https://www.whatdotheyknow.com/r/ceccfd5e-d16d-48b0-8c35-bf6bccc48a25
501-2538,Churchill Primary School,Controlled,106.0,BT684UY,54.36203,-6.832383,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,169,35,149,102.95630140987,97,0,9 (8.5%),Aughnacloy Free Presbyterian: <1/month<br>Caledon & Minterburn Presbyterian: <1/month<br>Elim Church: <1/month<br>Gortmerron Baptist: <1/month<br>Hope for Youth Ministries: <1/month<br>Lislooney Presbyterian: <1/month<br>St John's Caledon: <1/month,6,0.0566037735849056,2-11 (5.7%),142.0879992202254,23.0,5 or fewer,8.5%,https://www.whatdotheyknow.com/r/7da399e9-0a73-4580-87f6-f1326e89f9c3
501-2615,Ballytrea Primary School,Controlled,51.0,BT715NY,54.607676,-6.645322,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,149,17,161,71.41428428542851,36,0,15 (29.4%),Ardtrea Church of Ireland: once<br>Brigh Presbyterian Church: termly<br>Coaching for Christ: once<br>Cookstown Free Presbyterian Church: termly<br>Moneymore Congregational Church: termly<br>Serve Youth: once,8,0.1568627450980392,8 (15.7%),114.8528137423857,12.0,Zero,29.4%,https://www.whatdotheyknow.com/r/828664e8-bf34-4309-b7e0-4001b7a171b9
501-2621,Aughnacloy Primary School,Controlled,165.0,BT696DU,54.418131,-6.968014,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,196,63,126,128.4523257866513,156,0,9 (5.5%),Aughnacloy Free Presbyterian Church: twice monthly<br>Aughnacloy Methodist Church: twice monthly<br>Aughnacloy Presbyterian Church: twice monthly<br>Hope for Youth Ministries: once,5,0.0303030303030303,2-8 (3.0%),180.83766107971843,55.0,Zero,5.5%,https://www.whatdotheyknow.com/r/f928b398-1099-4722-b3fb-f414c73c72b3
501-2632,Donaghmore Primary School,Controlled,70.0,BT703EZ,54.531094,-6.812546,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,153,20,159,83.66600265340756,59,0,11 (15.7%),"All Saints Crossdernott: <1/month<br>Carland Presbyterian: <1/month<br>Castlecaulfield Presbyterian: <1/month<br>Crown Jesus Ministries: <1/month<br>Lisnagleer Baptist: <1/month<br>St Patrick's Parish Church, Donaghmore: <1/month",8,0.1142857142857142,7-10 (11.4%),120.17449122362082,18.0,Zero,15.7%,https://www.whatdotheyknow.com/r/ad176716-dd5b-44ab-ab5d-5ff8ef140446
501-2635,Augher Central Primary School,Controlled,79.0,BT770BE,54.43226,-7.137212,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,157,24,157,88.88194417315589,49,0-4,26-30 (35.4%),"Aughnacloy Free Presbyterian: once<br>Ballynanny Methodist Church: once<br>Child Evangelism Fellowship: twice<br>Clogher Valley Free Presbyterian: once<br>Glenhoy Presbyterian: once<br>Knockconny Baptist Church: once<br>St Mark's Parish Church, Augher: once",21,0.2658227848101265,18-25 (26.6%),119.7997772825746,8.0,Zero,35.4%,https://www.whatdotheyknow.com/r/37390675-469d-46d3-a005-c8428decba44
501-2636,Moy Regional Primary School,Controlled,80.0,BT717SN,54.448949,-6.698685,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,225,101,96,89.44271909999159,45,0-4,31-35 (41.2%),Ardmore Gospel Hall: 1-3/month<br>Hope for Youth Ministries: 4 or 5 visits<br>Lurgan Elim Church: 1-3/month<br>Milltown Church of Ireland: <1/month<br>Moy Methodist Church: 1-3/month,17,0.2125,14-21 (21.2%),184.938059229494,40.0,Zero,41.2%,https://www.whatdotheyknow.com/r/25cce0a5-8ed4-45de-a75d-b6f02f53f339
501-2643,Stewartstown Primary School,Controlled,49.0,BT715HY,54.575386,-6.676813,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,163,29,153,70.0,39,0-4,6-10 (16.3%),"Brackaville, Donaghendry and Ballyclog Group of Parishes: <1/month<br>Cookstown Free Presbyterian Church: <1/month<br>Crown Jesus Ministries: twice per term<br>Stewartstown, Brigh and Albany Presbyterian Churches: <1/month",5,0.1020408163265306,0-10 (10.2%),130.270586971775,17.0,Zero,16.3%,https://www.whatdotheyknow.com/r/66842bfb-508d-446e-a81a-50a2c8edf19e
501-2646,Howard Primary School,Controlled,325.0,BT717QR,54.487834,-6.748219,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,221,95,101,180.27756377319943,210,31,84 (25.8%),Crown Jesus Ministries: once<br>Dungannon Baptist Church: 4 or 5 visits<br>Dungannon C.O.I: 4 or 5 visits<br>Dungannon Methodist: 4 or 5 visits<br>Dungannon Presbyterian: 4 or 5 visits<br>Dungannon Vineyard: 4 or 5 visits<br>Free Methodist: 4 or 5 visits<br>Hope for Youth Ministries: 4 or 5 visits,67,0.2061538461538461,66-69 (20.6%),192.77591959500643,36.0,5 or fewer,25.8%,https://www.whatdotheyknow.com/r/fe5f5043-6720-40bc-bd92-764f389d3a45
501-2649,Coagh Primary School,Controlled,115.0,BT800DW,54.64696,-6.619632,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,157,24,157,107.23805294763608,104,0,11 (9.6%),"Coagh Baptist Church: <1/month<br>Coagh Presbyterian Church: <1/month<br>Crown Jesus Ministries: <1/month<br>Reformed Presbyterian: <1/month<br>St Lukes Parish Church, Coagh: <1/month",8,0.0695652173913043,4-13 (7.0%),127.72169133579789,16.0,Zero,9.6%,https://www.whatdotheyknow.com/r/56ce290f-4d8a-4dc3-936f-d0f7d1cb9826
501-2657,Walker Memorial Primary School,Controlled,69.0,BT703DQ,54.508296,-6.838713,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,208,77,115,83.06623862918075,37,0-4,28-32 (43.5%),Child Evangelism Fellowship: termly<br>Church of Ireland: 1-3/month<br>Hope for Youth Ministries: 4 or 5 visits<br>Presbyterian: 1-3/month,24,0.3478260869565217,22-28 (34.8%),154.58387880116294,28.0,Zero,43.5%,https://www.whatdotheyknow.com/r/933d9dab-2f97-404d-aae7-f694e4fb553f
501-2696,Carntall Primary School,Controlled,96.0,BT760UY,54.422115,-7.220108,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,142,12,164,97.97958971132712,88,0,8 (8.3%),"Clogher Presbyterian Church: <1/month<br>Clogher Valley Free Presbyterian Church: <1/month<br>St. Macartan's Cathedral, Clogher: <1/month<br>Stonepark Baptist Church: <1/month",5,0.0520833333333333,2-8 (5.2%),113.47740009098275,13.0,Zero,8.3%,https://www.whatdotheyknow.com/r/81d2218b-91ca-4bb5-a6f2-52090fc3d523
501-2719,Newmills Primary School,Controlled,111.0,BT714DX,54.550052,-6.739993,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,170,36,148,105.35653752852738,88,0-4,19-23 (18.9%),Hope for Youth Ministries: <1/month<br>Newmills Presbyterian Church: 1-3/month<br>Tullanisken Parish Church: 1-3/month,18,0.1621621621621621,14-23 (16.2%),134.92446262498967,24.0,5 or fewer,18.9%,https://www.whatdotheyknow.com/r/4c3e7611-30d4-4653-9e1f-4894146ea115
501-2720,Dungannon Primary School,Controlled,317.0,BT716BE,54.50699,-6.764152,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,251,162,56,178.04493814764857,25,193,99 (31.2%),Crown Jesus Ministries: once<br>Dungannon Baptist: once or twice per month<br>Dungannon Presbyterian: once or twice per month<br>St Annes Church of Ireland: once or twice per month<br>Thomas Street Methodist: once or twice per month<br>Vineyard Dungannon: once or twice per month,70,0.2208201892744479,69-72 (22.1%),232.9384143034532,71.0,5 or fewer,31.2%,https://www.whatdotheyknow.com/r/54ad0b83-36c9-425c-9ebc-d9b801aab4b5
501-2726,Cookstown Primary School,Controlled,484.0,BT808PF,54.643381,-6.741274,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,239,126,78,220.0,264,47,173 (35.7%),Cookstown Baptist Church: <1/month<br>Cookstown Free Presbyterian Church: <1/month<br>Derryloran Parish Church: <1/month<br>First Cookstown Presbyterian Church: <1/month<br>Holy Trinity Church: <1/month<br>Hope for Youth Ministries: <1/month<br>Lissan Parish Church: <1/month<br>Molesworth Presbyterian Church: <1/month<br>Moneymore Congregational Church: <1/month<br>WEC International: <1/month,144,0.2975206611570248,143-146 (29.8%),222.8684888841486,32.0,5 or fewer,35.7%,https://www.whatdotheyknow.com/r/bb913269-ac18-45c6-8373-45dee02cbd97
501-3019,"Edenderry PS, Banbridge",Controlled,412.0,BT324AF,54.354997,-6.268626,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,253,192,41,202.9778313018444,238,29,145 (35.2%),"Banbridge Methodist: termly<br>Bannside Presbyterian: termly<br>Equipping for Life: c. 24 visits<br>Holy Trinity  C O I Banbridge: termly<br>Scripture Union: termly<br>Train it, Teach it: c. 24 visits",123,0.2985436893203883,123 (29.9%),243.31666601557413,60.0,9,35.2%,https://www.whatdotheyknow.com/r/5bd96417-6ade-493d-ac3c-ce7c5118cae1
501-3702,Woods Primary School,Controlled,190.0,BT456HX,54.720014,-6.546365,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,146,15,162,137.84048752090223,158,8,24 (12.6%),Baptist Youth: <1/month<br>Church of Ireland: <1/month<br>Crown Jesus Ministries: <1/month<br>Presbyterian Church: <1/month,17,0.0894736842105263,17 (8.9%),117.97296882135582,10.0,Zero,12.6%,https://www.whatdotheyknow.com/r/e09bcacc-e347-4df8-9807-0f64f3b04530
501-6007,Millington Primary School,Controlled,630.0,BT623HQ,54.419051,-6.450631,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,201,69,121,250.99800796022265,340,108,182 (28.9%),"St Mark's Church, Portadown: <1/month",145,0.2301587301587301,145 (23.0%),194.97272501841024,4.0,8,28.9%,https://www.whatdotheyknow.com/r/6a4e3310-12bc-4e31-8115-74a8a38c1faa
501-6027,Drumhillery Primary School,Controlled,63.0,BT603QB,54.26998,-6.78791,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,225,101,96,79.37253933193772,59-63,0,Fewer than 5 (<8.0%),Armagh Free Presbyterian: 1-3/month<br>Armaghbreague & First Keady Presbyterian: 1-3/month<br>C.O.I. Armaghbreague: 1-3/month<br>C.O.I. Derrynoose: 1-3/month<br>C.O.I. Newtownhamilton: 1-3/month<br>Child Evangelism Fellowship: 1-3/month<br>Drumhillery & Second Keady Presbyterian: 1-3/month<br>Free Presbyterian Mission Board: 1-3/month<br>Keady Baptist: 1-3/month<br>Knappagh & Lislooney Presbyterian: 1-3/month,0,0.0,Fewer than 5 (<8.0%),240.693173090191,106.0,Zero,3.2%,https://www.whatdotheyknow.com/r/ffe79d3b-9392-42ca-b01f-e8208f4b5c36
501-6065,Dickson Primary School,Controlled,229.0,BT668LJ,54.451997,-6.333918,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,223,98,98,151.32745950421557,93,19,117 (51.1%),Elim Pentecostal Church: <1/month<br>Free Presbyterian Church: <1/month<br>Hill Street Presbyterian Church: <1/month<br>Lurgan Baptist Church: <1/month<br>Methodist Church: <1/month<br>St. John's Church of Ireland: <1/month,88,0.3842794759825327,88 (38.4%),190.38402765222605,20.0,5 or fewer,51.1%,https://www.whatdotheyknow.com/r/5ebaf1a4-c360-4fea-ac8e-5ec6bd901853
501-6078,Poyntzpass Primary School,Controlled,150.0,BT356SL,54.295921,-6.373774,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,167,33,151,122.4744871391589,111,5,34 (22.7%),Acton Parish Church of Ireland: termly<br>Free Presbyterian Mission Board: once<br>Newry Gospel Hall: 4 or 5 visits<br>Poyntzpass Baptist: termly<br>Poyntzpass Presbyterian: termly,26,0.1733333333333333,26 (17.3%),133.92304845413264,14.0,Zero,22.7%,https://www.whatdotheyknow.com/r/747734c5-4823-457e-bede-43cd14270c95
501-6079,The Cope Primary School,Controlled,103.0,BT618HY,54.407689,-6.611158,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,214,85,109,101.4889156509222,68,0,35 (34.0%),"Ballymagerny Free Presbyterian Church: monthly<br>Clovaneden Presbyterian Church: monthly<br>Cranagill Methodist Church: monthly<br>St Luke's Parish Church, Loughgall: monthly",32,0.3106796116504854,31-34 (31.1%),164.1640786499874,36.0,Zero,34.0%,https://www.whatdotheyknow.com/r/7737097a-6202-4057-97bb-e711558c4501
501-6080,Drumgor Primary School,Controlled,306.0,BT655BP,54.446059,-6.376862,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,198,65,124,174.928556845359,79,117,110 (35.9%),"Bluestone Methodist Church, Craigavon: <1/month<br>Craigavon Baptist Church: <1/month<br>Craigavon Presbyterian Church: <1/month<br>St Anthony's Roman Catholic Church, Craigavon: <1/month<br>St Saviour's Church of Ireland, Craigavon: <1/month",101,0.3300653594771242,98-104 (33.0%),172.47370151784372,16.0,Zero,35.9%,https://www.whatdotheyknow.com/r/29f68f4f-5a18-4b36-98eb-165ebabaacc3
501-6088,Fivemiletown Primary School & Nursery Unit,Controlled,213.0,BT750QP,54.379165,-7.308689,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,196,63,126,145.94519519326423,160,21,32 (15.0%),Bible Educational Services: <1/month<br>Fivemiletown Church of Ireland: 1-3/month<br>Fivemiletown Methodist: 1-3/month<br>Fivemiletown Presbyterian: 1-3/month<br>Hope for Youth Ministries: <1/month<br>Scripture Union: <1/month<br>Stonepark Baptist Brookeborough: <1/month<br>Walk Through The Bible UK: twice per term,20,0.0938967136150234,19-22 (9.4%),169.95328973722152,49.0,5 or fewer,15.0%,https://www.whatdotheyknow.com/r/0eddae22-9f9b-4202-afec-9c75df18a1f4
501-6098,Brackenagh West Primary School,Controlled,146.0,BT344QB,54.098937,-5.974795,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,191,57,130,120.83045973594572,131,0,15 (10.3%),"Child Evangelism Fellowship: 10 visits<br>Christ Church, Kilkeel: 10 visits<br>Kilhorne Parish Church: 10 visits<br>Kilkeel Presbyterian Church: 10 visits",12,0.0821917808219178,11-14 (8.2%),164.1640786499874,40.0,Zero,10.3%,https://www.whatdotheyknow.com/r/d4b41fb3-27ac-44f5-af37-4ea7747771de
501-6117,Ballyoran Primary School,Controlled,277.0,BT621JY,54.432812,-6.4525,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,153,20,159,166.43316977093238,6,201,70 (25.3%),No External Visitors,49,0.1768953068592057,49 (17.7%),130.39920318408906,0.0,Zero,25.3%,https://www.whatdotheyknow.com/r/ea7add85-6880-45ca-a4ca-0f442da45100
501-6138,Bocombra Primary School,Controlled,363.0,BT635SG,54.430348,-6.408104,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,232,112,89,190.5255888325765,197,24,142 (39.1%),Church of Ireland: 1-3/month<br>Elim Church: 1-3/month<br>Methodist Church: 1-3/month<br>Presbyterian Church: 1-3/month,61,0.1680440771349862,61 (16.8%),219.4897718252192,43.0,Zero,39.1%,https://www.whatdotheyknow.com/r/be870623-5ec1-4df2-b1b0-58a384de5e5e
501-6141,Churchtown Primary School,Controlled,50.0,BT809XA,54.685318,-6.743124,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,120,120,120,70.71067811865476,43,0,7 (14.0%),DID NOT RESPOND TO SURVEY,2,0.04,Fewer than 5 (<10.0%),200.0,,,14.0%,https://www.whatdotheyknow.com/r/37834849-f4df-472a-8b29-5c35dc9077df
501-6178,Donacloney Primary School,Controlled,231.0,BT667LP,54.419887,-6.258188,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,182,47,139,151.98684153570665,168,0-4,59-63 (26.4%),Child Evangelism Fellowship: <1/month<br>Gospel Hall Speaker: <1/month<br>Hope for Youth Ministries: <1/month,39,0.1688311688311688,36-43 (16.9%),152.60802287259702,9.0,5 or fewer,26.4%,https://www.whatdotheyknow.com/r/e1869f06-1c58-4357-958e-45489eea7c5d
501-6179,Hamiltonsbawn Primary School,Controlled,138.0,BT619SA,54.343988,-6.543893,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,174,39,145,117.4734012447073,101,0-4,33-37 (25.4%),Child Evangelism Fellowship: <1/month<br>Druminnis Presbyterian Church: <1/month<br>Mullabrack Parish Church: <1/month<br>Richill Methodist Church: <1/month<br>Youth For Christ: <1/month,27,0.1956521739130435,23-32 (19.6%),138.58755816712056,18.0,5 or fewer,25.4%,https://www.whatdotheyknow.com/r/5066c3ed-ee7c-4edb-b070-04f82bed5760
501-6200,"Queen Elizabeth II Primary School, Pomeroy",Controlled,41.0,BT702RW,54.599411,-6.913408,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,140,10,164,64.03124237432849,37-41,0,Fewer than 5 (<13.0%),"All Saints Crossdernott Church of Ireland, Pomeroy: <1/month<br>Altedesert Church, Pomeroy: <1/month<br>Hope for Youth Ministries: <1/month<br>Pomeroy Presbyterian Church: <1/month<br>Scripture Union: <1/month",2,0.048780487804878,Fewer than 5 (<13.0%),112.3719489880223,16.0,Zero,4.9%,https://www.whatdotheyknow.com/r/b8a8136c-0754-40b5-952b-df46505665a0
501-6221,Orritor Primary School,Controlled,219.0,BT809NE,54.658738,-6.822043,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,181,46,140,147.9864858694874,179,0,40 (18.3%),Cookstown Baptist: 4 or 5 visits<br>Cookstown Free Presbyterian: 4 or 5 visits<br>Crown Jesus Ministries: once<br>Kildress Church of Ireland: 8 visits<br>Orritor Presbyterian: 4 or 5 visits,28,0.1278538812785388,28 (12.8%),150.59850745345068,21.0,Zero,18.3%,https://www.whatdotheyknow.com/r/244236f6-679e-4829-8e9f-28f05ee2e4d4
501-6224,Donaghey Primary School,Controlled,102.0,BT714DA,54.585548,-6.746043,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,173,38,146,100.99504938362077,78,0-4,20-24 (21.6%),Cookstown Baptist Church: <1/month<br>Cookstown Free Presbyterian Church: <1/month<br>Crown Jesus Ministries: <1/month<br>Desertcreat Parish Church (C.O.I.): <1/month<br>Donaghey Congregational Church: <1/month<br>Independent Methodist: <1/month<br>Sandholes Presbyterian Church: <1/month,14,0.1372549019607843,12-18 (13.7%),138.6299973577741,21.0,5 or fewer,21.6%,https://www.whatdotheyknow.com/r/04c4f527-268f-4a0e-b60b-adc7efb751e6
501-6391,Bush Primary School,Controlled,209.0,BT716QU,54.519223,-6.727445,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,164,30,152,144.5683229480096,120,50,39 (18.7%),"Christian Fellowship Church (CFC): <1/month<br>Dungannon Baptist Church: <1/month<br>St Andrew's Parish Church, Killyman: <1/month<br>St Anne's Parish Church, Dungannon: <1/month<br>Vineyard Church Dungannon: <1/month",15,0.0717703349282296,15 (7.2%),138.00905117522936,14.0,Zero,18.7%,https://www.whatdotheyknow.com/r/72341cbb-5252-49cf-9987-9a0efbcb4e66
501-6436,Markethill Primary School,Controlled,310.0,BT601RQ,54.290793,-6.519739,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,208,77,115,176.0681686165901,226,21,63 (20.3%),"Baptist Youth: once<br>Elim Church: <1/month<br>Free Presbyterian Church – Markethill: <1/month<br>Markethill Presbyterian Church: <1/month<br>Markethill, Baptist Church – Armagh: <1/month<br>Mullabrack - Church of Ireland: <1/month<br>Reformed Presbyterian: <1/month<br>Richhill Methodist Church: <1/month<br>Tullyallen Presbyterian Church: <1/month",44,0.1419354838709677,44 (14.2%),181.2292285545134,29.0,Zero,20.3%,https://www.whatdotheyknow.com/r/52856bd3-3645-4608-85e3-e4a638a7f74a
501-6451,Windsor Hill Primary School,Controlled,209.0,BT341DY,54.180579,-6.332108,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,242,132,75,144.5683229480096,65,43,101 (48.3%),Baptist: 4 or 5 visits<br>Brethren - Gospel Hall: 4 or 5 visits<br>Child Evangelism Fellowship: 4 or 5 visits<br>Love for Life: 4 or 5 visits<br>Methodist Church: 4 or 5 visits<br>Non Subscribing Presbyterian Church: 4 or 5 visits<br>Presbyterian Church In Ireland: 4 or 5 visits<br>Reformed Presbyterian: 4 or 5 visits<br>The Church of Ireland: 4 or 5 visits,67,0.3205741626794258,67 (32.1%),206.7710383518748,36.0,9,48.3%,https://www.whatdotheyknow.com/r/899d0f61-79a3-4758-84fc-2d94c878c379
501-6543,Moyallon Primary School,Controlled,203.0,BT635JY,54.399498,-6.38865,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,205,73,117,142.47806848775008,145,0-4,54-58 (27.6%),Bethany Free Presbyterian Church: 4 or 5 visits<br>Brethren: 4 or 5 visits<br>Crown Jesus Ministries: 4 or 5 visits<br>International Justice Ministries: 4 or 5 visits<br>Knocknamuckley Church of Ireland: 4 or 5 visits<br>Newmills Presbyterian Church In Ireland: 4 or 5 visits<br>Reach Mentoring: 4 or 5 visits<br>Stand By Me: 4 or 5 visits,30,0.1477832512315271,28-34 (14.8%),175.98630072715727,32.0,Zero,27.6%,https://www.whatdotheyknow.com/r/8e6d3bf0-b271-4271-a36a-1e71819ab819
501-6599,Fair Hill Primary School,Controlled,265.0,BT252PJ,54.379512,-6.083477,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,201,69,121,162.78820596099706,219,8,38 (14.3%),1st Dromara Presbyterian: twice per term<br>Child Evangelism Fellowship: twice per term<br>Dromore Baptist: once<br>Garvaghy Presbyterian: 4 or 5 visits<br>Growell Gospel Hall: twice<br>Hope for Youth Ministries: twice<br>Reformed Presbyterian: 4 or 5 visits<br>St John's and Garvaghy Parish: twice per term,27,0.1018867924528302,26-29 (10.2%),175.98630072715727,33.0,Zero,14.3%,https://www.whatdotheyknow.com/r/b2994a30-3a4f-4dc4-a1c4-56df89f58bf1
501-6612,Bronte Primary School,Controlled,187.0,BT325BL,54.264082,-6.239072,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,184,50,137,136.74794331177344,135,10,42 (22.5%),Acts 29 Church: <1/month<br>Brookvale Presbyterian Church: <1/month<br>Child Evangelism Fellowship: <1/month<br>Moneyslane Free Presbyterian Church: <1/month<br>Newry Gospel Hall: <1/month<br>Other Christian Charities: <1/month,21,0.1122994652406417,21 (11.2%),155.34214543233912,20.0,5 or fewer,22.5%,https://www.whatdotheyknow.com/r/7c7a5ce7-cf8d-49bf-9088-e9ca103f4832
501-6616,Drumadonnell Primary School,Controlled,222.0,BT325EY,54.283604,-6.095336,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,232,112,89,148.9966442575134,187,0-4,31-35 (14.9%),Ardarragh Free Presbyterian: 1-3/month<br>Child Evangelism Fellowship: 1-3/month<br>Drumgooland Parish Church & St John's Parish Church Rathfriland: 1-3/month<br>First Rathfriland Presbyterian: 1-3/month<br>Hope for Youth Ministries: <1/month<br>Katesbridge & Magherally Presbyterian: 1-3/month<br>Rathfriland Baptist: 1-3/month<br>Rural Chaplain: 1-3/month<br>Second & Third Rathfriland & Brookvale Presbyterian: 1-3/month,12,0.054054054054054,10-16 (5.4%),228.9986802098816,86.0,Zero,14.9%,https://www.whatdotheyknow.com/r/d009215c-71f7-48b6-9f99-a05ad3918e8e
501-6643,Richmond Primary School,Controlled,112.0,BT702EZ,54.465845,-7.041288,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,178,44,142,105.83005244258362,94,0-4,14-18 (14.3%),Aughnacloy Free Presbyterian Church: 7 visits<br>Ballygawley Church of Ireland: once<br>Ballygawley Presbyterian Church: 7 visits<br>Hope for Youth Ministries: once<br>Knockconny Baptist Church: 7 visits<br>Methodist Church: 7 visits<br>Scripture Union: once,7,0.0625,3-12 (6.2%),152.3764683262268,31.0,Zero,14.3%,https://www.whatdotheyknow.com/r/8564dd89-4835-42d9-9d9d-963e64475644
501-6658,Orchard County Primary School,Controlled,171.0,BT621NH,54.465232,-6.612664,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,160,27,155,130.7669683062202,142,0-4,25-29 (15.8%),Annaghmore Parish Church of Ireland: twice<br>Ballymagerney Free Presbyterian: twice<br>Child Evangelism Fellowship: twice<br>Hope for Youth Ministries: twice<br>Love for Life: twice<br>Tullyroan Methodist: twice,15,0.087719298245614,11-20 (8.8%),132.52804494381036,12.0,Zero,15.8%,https://www.whatdotheyknow.com/r/d0105016-8020-4544-880d-40be2ee70586
